0.026,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.011,0.007,0.009,0.008,0.076,0.052,0.003
0.066,0.019,0.030,0.021,0.037,0.043,0.017,0.039,0.032,0.018,0.018,0.030,0.130,0.161,0.166,0.091,0.102,0.024,0.082
0.066,0.012,0.013,0.012,0.013,0.013,0.012,0.010,0.012,0.012,0.011,0.010,0.008,0.003,0.018,0.010,0.078,0.062,0.008
0.067,0.032,0.032,0.027,0.030,0.040,0.019,0.036,0.035,0.032,0.041,0.027,0.093,0.090,0.088,0.029,0.130,0.135,0.092
0.059,0.020,0.013,0.020,0.020,0.015,0.016,0.036,0.026,0.022,0.036,0.021,0.097,0.022,0.094,0.078,0.115,0.124,0.134
0.040,0.004,0.003,0.003,0.004,0.003,0.004,0.002,0.004,0.003,0.003,0.004,0.004,0.001,0.012,0.002,0.105,0.121,0.003
0.034,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.016,0.011,0.011,0.069,0.073,0.087,0.075,0.034,0.055,0.077
0.032,0.007,0.007,0.007,0.008,0.007,0.006,0.007,0.005,0.007,0.007,0.008,0.030,0.017,0.007,0.012,0.024,0.003,0.011
0.067,0.040,0.050,0.053,0.035,0.031,0.037,0.030,0.038,0.037,0.054,0.031,0.045,0.055,0.048,0.036,0.107,0.081,0.037
0.027,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.007,0.007,0.007,0.018,0.006,0.022,0.013,0.019,0.018
0.217,0.248,0.248,0.249,0.249,0.250,0.255,0.255,0.248,0.249,0.249,0.249,0.271,0.219,0.239,0.234,0.252,0.295,0.260
0.034,0.005,0.018,0.002,0.003,0.004,0.002,0.004,0.007,0.004,0.013,0.004,0.059,0.133,0.178,0.005,0.169,0.195,0.145
0.083,0.009,0.009,0.012,0.009,0.015,0.009,0.023,0.014,0.009,0.015,0.009,0.005,0.005,0.011,0.005,0.076,0.067,0.051
0.035,0.010,0.009,0.008,0.010,0.008,0.010,0.008,0.009,0.010,0.009,0.010,0.030,0.054,0.040,0.063,0.196,0.073,0.033
0.061,0.031,0.019,0.011,0.010,0.007,0.011,0.008,0.005,0.030,0.022,0.014,0.203,0.145,0.126,0.152,0.039,0.058,0.009
0.062,0.052,0.052,0.051,0.053,0.052,0.053,0.052,0.054,0.050,0.055,0.053,0.145,0.148,0.167,0.149,0.033,0.051,0.155
0.070,0.036,0.039,0.031,0.039,0.036,0.039,0.039,0.038,0.029,0.042,0.040,0.110,0.143,0.139,0.149,0.089,0.100,0.149
