0.007,0.002,0.016,0.011,0.030,0.056,0.031,0.032,0.037,0.198,0.076,0.114,0.087,0.235,0.182,0.134,0.141,0.106,0.092,0.114,0.067,0.137,0.153,0.089,0.060,0.060,0.136,0.111,0.070,0.071,0.062,0.083,0.073,0.096,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.017,0.012,0.170,0.155,0.116,0.104,0.095,0.084,0.117,0.061,0.116,0.112,0.073,0.061,0.061,0.122,0.106,0.068,0.070,0.061,0.091,0.080,0.104,0.046,0.046
0.006,0.002,0.015,0.010,0.027,0.050,0.024,0.031,0.034,0.186,0.072,0.095,0.083,0.232,0.180,0.129,0.126,0.095,0.081,0.101,0.057,0.143,0.159,0.091,0.061,0.061,0.140,0.114,0.072,0.072,0.062,0.084,0.073,0.097,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.026,0.010,0.014,0.011,0.180,0.167,0.119,0.098,0.090,0.076,0.106,0.055,0.120,0.115,0.075,0.062,0.062,0.123,0.111,0.071,0.070,0.061,0.091,0.080,0.104,0.046,0.046
0.006,0.001,0.013,0.009,0.024,0.049,0.028,0.029,0.032,0.191,0.073,0.114,0.083,0.241,0.176,0.135,0.149,0.106,0.092,0.119,0.069,0.142,0.156,0.091,0.061,0.061,0.137,0.103,0.068,0.068,0.060,0.083,0.073,0.096,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.026,0.010,0.016,0.011,0.172,0.156,0.117,0.102,0.092,0.082,0.115,0.060,0.117,0.114,0.074,0.061,0.061,0.125,0.107,0.068,0.071,0.062,0.093,0.081,0.105,0.046,0.046
0.007,0.002,0.016,0.011,0.029,0.055,0.030,0.033,0.036,0.196,0.075,0.109,0.085,0.239,0.184,0.134,0.139,0.104,0.089,0.110,0.064,0.142,0.153,0.091,0.061,0.061,0.134,0.112,0.071,0.071,0.062,0.082,0.072,0.095,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.027,0.011,0.019,0.012,0.161,0.144,0.113,0.112,0.100,0.090,0.130,0.068,0.109,0.109,0.072,0.060,0.060,0.121,0.098,0.066,0.067,0.059,0.091,0.081,0.104,0.046,0.046
0.005,0.001,0.012,0.009,0.024,0.048,0.028,0.028,0.032,0.189,0.072,0.112,0.082,0.239,0.174,0.134,0.148,0.105,0.092,0.119,0.069,0.139,0.155,0.091,0.060,0.060,0.137,0.103,0.067,0.069,0.060,0.083,0.073,0.097,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.017,0.012,0.170,0.154,0.118,0.105,0.095,0.083,0.120,0.062,0.112,0.111,0.073,0.060,0.060,0.122,0.102,0.067,0.068,0.060,0.092,0.080,0.104,0.046,0.046
0.006,0.002,0.013,0.010,0.025,0.049,0.028,0.029,0.033,0.191,0.072,0.111,0.083,0.239,0.175,0.134,0.146,0.103,0.089,0.116,0.067,0.143,0.156,0.091,0.061,0.061,0.137,0.103,0.068,0.068,0.060,0.083,0.073,0.097,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.013,0.011,0.185,0.173,0.121,0.094,0.087,0.075,0.102,0.053,0.122,0.116,0.076,0.062,0.062,0.124,0.117,0.073,0.073,0.063,0.093,0.081,0.105,0.046,0.047
