0.070,0.005,0.006,0.005,0.005,0.006,0.007,0.005,0.006,0.005,0.007,0.005,0.004,0.003,0.004,0.013,0.001,0.005,0.003
0.113,0.129,0.119,0.120,0.130,0.128,0.128,0.126,0.109,0.133,0.110,0.125,0.029,0.019,0.035,0.030,0.081,0.101,0.021
0.060,0.043,0.043,0.041,0.037,0.044,0.042,0.047,0.054,0.048,0.042,0.046,0.004,0.008,0.012,0.042,0.015,0.019,0.054
0.035,0.003,0.003,0.005,0.009,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.001,0.002,0.001,0.005,0.009,0.001
0.075,0.076,0.020,0.091,0.033,0.024,0.045,0.025,0.047,0.033,0.052,0.091,0.093,0.004,0.006,0.155,0.005,0.016,0.122
0.134,0.034,0.040,0.035,0.038,0.036,0.035,0.043,0.036,0.026,0.038,0.037,0.008,0.007,0.004,0.008,0.000,0.000,0.009
0.119,0.146,0.089,0.147,0.094,0.145,0.089,0.112,0.096,0.145,0.089,0.094,0.018,0.007,0.004,0.010,0.003,0.003,0.005
0.062,0.033,0.036,0.059,0.047,0.042,0.058,0.035,0.053,0.041,0.038,0.037,0.109,0.125,0.118,0.084,0.192,0.168,0.025
0.039,0.005,0.004,0.003,0.003,0.004,0.004,0.006,0.004,0.005,0.003,0.003,0.018,0.002,0.005,0.002,0.006,0.013,0.004
0.044,0.063,0.037,0.013,0.015,0.060,0.024,0.013,0.013,0.024,0.010,0.031,0.013,0.037,0.033,0.024,0.029,0.027,0.022
0.092,0.008,0.007,0.012,0.007,0.010,0.007,0.009,0.008,0.008,0.008,0.007,0.002,0.002,0.003,0.002,0.028,0.024,0.003
0.055,0.041,0.031,0.031,0.056,0.034,0.026,0.054,0.032,0.025,0.035,0.031,0.050,0.039,0.034,0.031,0.026,0.013,0.030
0.047,0.012,0.012,0.011,0.012,0.012,0.013,0.018,0.011,0.015,0.011,0.012,0.072,0.073,0.035,0.070,0.112,0.125,0.038
0.048,0.008,0.007,0.010,0.008,0.007,0.008,0.010,0.007,0.009,0.007,0.007,0.008,0.003,0.004,0.003,0.073,0.053,0.005
0.056,0.008,0.009,0.008,0.008,0.008,0.012,0.008,0.008,0.010,0.008,0.008,0.003,0.008,0.004,0.022,0.007,0.005,0.002
0.047,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.007,0.004,0.033,0.001,0.003,0.001,0.084,0.097,0.004
0.051,0.006,0.005,0.006,0.005,0.005,0.007,0.004,0.004,0.004,0.004,0.004,0.020,0.002,0.002,0.009,0.050,0.026,0.001
0.078,0.029,0.034,0.043,0.031,0.028,0.034,0.031,0.039,0.041,0.041,0.029,0.013,0.033,0.034,0.028,0.022,0.032,0.043
0.050,0.006,0.008,0.014,0.007,0.005,0.012,0.005,0.006,0.014,0.014,0.013,0.001,0.065,0.018,0.069,0.208,0.223,0.001
0.055,0.054,0.049,0.046,0.063,0.046,0.041,0.043,0.033,0.060,0.045,0.052,0.019,0.007,0.007,0.042,0.008,0.013,0.039
0.067,0.013,0.018,0.020,0.017,0.018,0.016,0.021,0.018,0.020,0.018,0.016,0.005,0.008,0.007,0.006,0.004,0.008,0.009
0.055,0.052,0.039,0.051,0.041,0.060,0.052,0.034,0.028,0.051,0.051,0.062,0.052,0.055,0.065,0.054,0.143,0.125,0.042
0.072,0.020,0.026,0.025,0.022,0.020,0.020,0.020,0.022,0.023,0.022,0.024,0.030,0.064,0.032,0.038,0.027,0.050,0.066
0.100,0.005,0.005,0.015,0.004,0.007,0.014,0.004,0.004,0.004,0.005,0.005,0.002,0.002,0.001,0.020,0.003,0.002,0.001
0.075,0.013,0.009,0.009,0.010,0.010,0.009,0.011,0.010,0.010,0.013,0.011,0.006,0.005,0.005,0.004,0.081,0.085,0.008
0.064,0.014,0.013,0.014,0.014,0.009,0.014,0.013,0.011,0.014,0.014,0.010,0.017,0.013,0.015,0.013,0.036,0.042,0.008
0.038,0.005,0.005,0.006,0.006,0.005,0.006,0.004,0.005,0.005,0.005,0.006,0.003,0.004,0.013,0.015,0.078,0.086,0.087
0.049,0.004,0.006,0.005,0.005,0.006,0.005,0.004,0.004,0.005,0.004,0.004,0.001,0.017,0.005,0.004,0.016,0.013,0.001
0.037,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.001,0.002,0.005,0.007,0.011,0.009,0.005
0.129,0.096,0.096,0.104,0.106,0.103,0.097,0.093,0.103,0.101,0.099,0.082,0.017,0.031,0.028,0.064,0.010,0.012,0.067
0.110,0.032,0.029,0.047,0.031,0.030,0.038,0.031,0.033,0.032,0.035,0.034,0.003,0.077,0.037,0.028,0.060,0.059,0.001
0.071,0.007,0.006,0.008,0.006,0.007,0.006,0.007,0.006,0.008,0.006,0.006,0.003,0.002,0.002,0.004,0.002,0.000,0.002
0.133,0.058,0.049,0.049,0.058,0.047,0.062,0.037,0.053,0.048,0.060,0.037,0.010,0.010,0.011,0.013,0.006,0.009,0.014
0.128,0.096,0.098,0.098,0.091,0.098,0.101,0.096,0.092,0.096,0.097,0.101,0.017,0.070,0.061,0.043,0.014,0.035,0.093
0.137,0.023,0.053,0.039,0.023,0.042,0.023,0.032,0.036,0.036,0.026,0.026,0.001,0.007,0.016,0.003,0.021,0.026,0.003
