0.047,0.003,0.004,0.003,0.003,0.004,0.005,0.003,0.004,0.003,0.005,0.003,0.006,0.004,0.006,0.018,0.006,0.013,0.005
0.113,0.058,0.055,0.055,0.058,0.058,0.058,0.057,0.053,0.061,0.055,0.058,0.027,0.015,0.029,0.026,0.132,0.142,0.015
0.094,0.046,0.041,0.043,0.035,0.043,0.043,0.044,0.057,0.045,0.043,0.044,0.012,0.026,0.037,0.070,0.054,0.051,0.095
0.075,0.009,0.009,0.013,0.021,0.008,0.009,0.009,0.009,0.009,0.009,0.011,0.016,0.004,0.006,0.004,0.016,0.025,0.004
0.113,0.077,0.036,0.083,0.054,0.042,0.065,0.043,0.066,0.055,0.069,0.085,0.035,0.007,0.013,0.073,0.024,0.037,0.073
0.092,0.019,0.024,0.019,0.021,0.020,0.020,0.025,0.020,0.013,0.021,0.021,0.007,0.018,0.010,0.008,0.000,0.001,0.010
0.116,0.076,0.038,0.068,0.039,0.064,0.038,0.049,0.040,0.069,0.038,0.040,0.034,0.005,0.003,0.007,0.004,0.005,0.003
0.088,0.039,0.043,0.064,0.052,0.050,0.062,0.039,0.057,0.050,0.046,0.044,0.048,0.042,0.049,0.075,0.144,0.107,0.020
0.083,0.011,0.011,0.009,0.009,0.009,0.010,0.013,0.010,0.013,0.009,0.009,0.052,0.006,0.014,0.005,0.043,0.045,0.012
0.104,0.065,0.043,0.026,0.028,0.062,0.035,0.028,0.026,0.035,0.024,0.038,0.024,0.047,0.050,0.031,0.073,0.071,0.040
0.057,0.005,0.004,0.009,0.005,0.007,0.004,0.006,0.004,0.005,0.005,0.004,0.003,0.003,0.004,0.002,0.057,0.048,0.005
0.093,0.039,0.039,0.035,0.055,0.036,0.031,0.054,0.032,0.031,0.036,0.039,0.063,0.060,0.062,0.048,0.068,0.033,0.041
0.033,0.010,0.009,0.009,0.010,0.009,0.010,0.015,0.008,0.013,0.009,0.010,0.065,0.084,0.037,0.066,0.075,0.076,0.040
0.037,0.008,0.006,0.011,0.007,0.006,0.007,0.011,0.006,0.008,0.006,0.006,0.012,0.004,0.007,0.004,0.122,0.085,0.008
0.047,0.007,0.008,0.007,0.008,0.007,0.011,0.007,0.007,0.009,0.007,0.007,0.004,0.012,0.005,0.028,0.013,0.009,0.003
0.089,0.014,0.009,0.011,0.011,0.010,0.010,0.009,0.009,0.011,0.015,0.010,0.071,0.004,0.009,0.005,0.112,0.114,0.012
0.106,0.012,0.009,0.012,0.009,0.010,0.014,0.009,0.009,0.009,0.009,0.009,0.052,0.005,0.006,0.025,0.086,0.050,0.002
0.085,0.039,0.040,0.057,0.040,0.039,0.040,0.038,0.050,0.054,0.043,0.039,0.041,0.064,0.063,0.060,0.062,0.074,0.092
0.104,0.012,0.015,0.027,0.014,0.011,0.021,0.011,0.012,0.027,0.027,0.024,0.004,0.113,0.044,0.124,0.142,0.140,0.003
0.107,0.050,0.046,0.047,0.057,0.043,0.040,0.046,0.036,0.055,0.047,0.050,0.037,0.020,0.021,0.051,0.041,0.069,0.055
0.053,0.017,0.023,0.026,0.021,0.023,0.020,0.026,0.023,0.024,0.022,0.020,0.012,0.016,0.015,0.014,0.012,0.014,0.018
0.108,0.050,0.040,0.045,0.042,0.056,0.050,0.039,0.037,0.045,0.046,0.057,0.069,0.067,0.082,0.072,0.160,0.147,0.084
0.057,0.019,0.025,0.024,0.022,0.021,0.020,0.020,0.024,0.023,0.023,0.024,0.036,0.077,0.041,0.046,0.037,0.050,0.072
0.044,0.003,0.003,0.008,0.002,0.004,0.008,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.001,0.023,0.007,0.003,0.001
0.053,0.011,0.007,0.007,0.008,0.007,0.007,0.008,0.008,0.007,0.011,0.008,0.015,0.008,0.008,0.007,0.147,0.145,0.012
0.051,0.027,0.028,0.027,0.027,0.022,0.027,0.028,0.024,0.027,0.027,0.023,0.039,0.028,0.030,0.033,0.047,0.047,0.021
0.084,0.011,0.012,0.015,0.015,0.012,0.014,0.009,0.012,0.012,0.012,0.016,0.007,0.013,0.035,0.043,0.119,0.116,0.145
0.100,0.009,0.012,0.011,0.010,0.012,0.011,0.009,0.009,0.010,0.009,0.010,0.004,0.043,0.014,0.012,0.042,0.035,0.003
0.075,0.009,0.010,0.010,0.011,0.009,0.012,0.009,0.009,0.009,0.009,0.009,0.005,0.006,0.014,0.019,0.045,0.036,0.018
