0.005,0.001,0.021,0.020,0.020,0.020,0.134,0.134,0.134,0.135,0.134,0.136,0.136,0.035,0.055,0.060,0.058,0.059,0.059,0.336,0.267,0.269,0.273,0.330,0.336,0.326,0.327,0.333,0.332
0.003,0.001,0.013,0.012,0.012,0.012,0.142,0.141,0.141,0.141,0.141,0.140,0.140,0.041,0.049,0.053,0.050,0.053,0.053,0.345,0.294,0.288,0.296,0.337,0.331,0.324,0.321,0.334,0.334
0.006,0.001,0.024,0.023,0.023,0.023,0.142,0.142,0.142,0.142,0.141,0.142,0.142,0.038,0.057,0.063,0.062,0.063,0.063,0.331,0.270,0.271,0.274,0.329,0.335,0.327,0.333,0.335,0.337
0.003,0.001,0.012,0.012,0.012,0.012,0.139,0.141,0.140,0.141,0.139,0.139,0.141,0.042,0.051,0.054,0.052,0.054,0.053,0.338,0.294,0.288,0.298,0.332,0.334,0.328,0.329,0.335,0.329
0.003,0.001,0.013,0.012,0.012,0.012,0.139,0.141,0.141,0.141,0.140,0.140,0.140,0.042,0.050,0.055,0.052,0.055,0.054,0.337,0.293,0.291,0.298,0.333,0.336,0.328,0.322,0.335,0.332
0.006,0.001,0.024,0.022,0.023,0.023,0.139,0.138,0.141,0.139,0.139,0.139,0.139,0.033,0.050,0.054,0.052,0.054,0.053,0.342,0.273,0.271,0.275,0.335,0.330,0.320,0.320,0.333,0.329
0.005,0.001,0.021,0.020,0.020,0.020,0.138,0.139,0.139,0.140,0.139,0.139,0.138,0.038,0.056,0.062,0.059,0.061,0.060,0.334,0.275,0.275,0.278,0.330,0.338,0.322,0.321,0.334,0.331
0.003,0.001,0.011,0.011,0.011,0.011,0.136,0.134,0.134,0.134,0.136,0.134,0.135,0.043,0.052,0.055,0.054,0.056,0.056,0.344,0.293,0.291,0.296,0.336,0.333,0.329,0.330,0.338,0.335
0.003,0.001,0.013,0.012,0.012,0.012,0.138,0.139,0.139,0.139,0.140,0.139,0.139,0.041,0.049,0.053,0.051,0.053,0.053,0.341,0.291,0.288,0.296,0.335,0.334,0.328,0.325,0.334,0.332
0.005,0.001,0.022,0.021,0.020,0.020,0.138,0.138,0.136,0.137,0.137,0.138,0.139,0.038,0.058,0.062,0.062,0.061,0.062,0.336,0.267,0.268,0.274,0.331,0.334,0.324,0.328,0.332,0.334
0.003,0.001,0.012,0.012,0.012,0.012,0.140,0.139,0.139,0.139,0.141,0.139,0.140,0.043,0.052,0.056,0.052,0.056,0.055,0.336,0.290,0.292,0.298,0.331,0.338,0.320,0.318,0.337,0.333
0.003,0.001,0.012,0.012,0.012,0.012,0.139,0.139,0.140,0.138,0.139,0.139,0.139,0.042,0.051,0.053,0.051,0.053,0.054,0.346,0.291,0.293,0.299,0.336,0.330,0.323,0.322,0.327,0.335
0.005,0.001,0.023,0.021,0.022,0.022,0.138,0.139,0.140,0.140,0.138,0.138,0.141,0.037,0.055,0.059,0.060,0.059,0.060,0.330,0.270,0.270,0.274,0.332,0.329,0.330,0.331,0.330,0.334
0.003,0.001,0.011,0.011,0.011,0.011,0.137,0.137,0.137,0.139,0.138,0.137,0.137,0.039,0.047,0.051,0.049,0.049,0.051,0.332,0.290,0.292,0.297,0.329,0.333,0.327,0.326,0.325,0.331
0.005,0.001,0.022,0.021,0.022,0.022,0.139,0.140,0.137,0.138,0.140,0.140,0.138,0.037,0.056,0.061,0.060,0.061,0.061,0.334,0.271,0.270,0.275,0.330,0.334,0.326,0.326,0.334,0.335
0.006,0.001,0.025,0.023,0.023,0.023,0.139,0.138,0.141,0.139,0.140,0.140,0.139,0.036,0.055,0.060,0.059,0.060,0.060,0.345,0.267,0.268,0.273,0.338,0.333,0.323,0.325,0.334,0.336
