0.014,0.008,0.009,0.011,0.009,0.010,0.011,0.009,0.011,0.010,0.010,0.010,0.021,0.050,0.028,0.023,0.140,0.201,0.026
0.023,0.012,0.012,0.012,0.011,0.012,0.017,0.017,0.016,0.017,0.016,0.016,0.057,0.052,0.028,0.016,0.112,0.135,0.017
0.015,0.008,0.008,0.010,0.008,0.009,0.009,0.009,0.009,0.009,0.008,0.009,0.060,0.029,0.035,0.013,0.225,0.189,0.009
0.178,0.059,0.041,0.049,0.047,0.041,0.047,0.033,0.046,0.046,0.060,0.047,0.216,0.059,0.072,0.107,0.132,0.264,0.105
0.012,0.008,0.007,0.010,0.009,0.007,0.009,0.007,0.009,0.009,0.008,0.008,0.012,0.011,0.011,0.033,0.016,0.026,0.029
0.014,0.010,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.030,0.042,0.043,0.012,0.228,0.154,0.012
0.216,0.025,0.025,0.024,0.025,0.025,0.025,0.024,0.026,0.024,0.026,0.025,0.009,0.006,0.018,0.018,0.122,0.046,0.023
0.023,0.017,0.013,0.013,0.017,0.014,0.014,0.012,0.017,0.014,0.017,0.013,0.019,0.026,0.028,0.033,0.275,0.117,0.016
0.027,0.022,0.023,0.023,0.020,0.032,0.028,0.024,0.028,0.032,0.033,0.022,0.018,0.020,0.021,0.148,0.058,0.031,0.075
0.015,0.018,0.017,0.018,0.018,0.018,0.018,0.016,0.020,0.019,0.017,0.018,0.154,0.151,0.149,0.101,0.286,0.166,0.055
0.016,0.012,0.012,0.012,0.012,0.013,0.015,0.014,0.013,0.012,0.011,0.015,0.031,0.028,0.019,0.055,0.039,0.043,0.024
0.016,0.014,0.013,0.015,0.013,0.015,0.015,0.014,0.014,0.014,0.014,0.015,0.033,0.022,0.056,0.040,0.091,0.201,0.047
0.016,0.101,0.087,0.097,0.100,0.101,0.091,0.100,0.103,0.059,0.062,0.088,0.023,0.007,0.013,0.006,0.020,0.012,0.039
0.018,0.017,0.020,0.015,0.016,0.018,0.018,0.019,0.019,0.016,0.020,0.018,0.052,0.179,0.170,0.132,0.152,0.083,0.186
0.013,0.010,0.010,0.010,0.011,0.010,0.008,0.010,0.010,0.009,0.011,0.012,0.020,0.021,0.025,0.010,0.178,0.103,0.017
0.012,0.008,0.009,0.009,0.008,0.009,0.010,0.010,0.009,0.009,0.007,0.008,0.051,0.020,0.013,0.024,0.047,0.157,0.024
0.013,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.011,0.015,0.013,0.010,0.068,0.137,0.010
0.109,0.061,0.059,0.067,0.046,0.072,0.069,0.065,0.041,0.054,0.066,0.067,0.039,0.054,0.030,0.124,0.090,0.053,0.042
0.026,0.213,0.140,0.115,0.161,0.164,0.121,0.184,0.214,0.213,0.119,0.179,0.145,0.287,0.200,0.184,0.074,0.058,0.178
0.016,0.014,0.014,0.013,0.013,0.014,0.013,0.013,0.014,0.014,0.013,0.014,0.024,0.031,0.031,0.110,0.142,0.187,0.035
0.015,0.009,0.009,0.008,0.010,0.009,0.009,0.008,0.008,0.010,0.010,0.009,0.017,0.016,0.011,0.013,0.053,0.060,0.010
0.015,0.008,0.008,0.010,0.008,0.010,0.008,0.008,0.008,0.008,0.010,0.008,0.009,0.020,0.041,0.011,0.218,0.153,0.009
0.040,0.029,0.032,0.035,0.038,0.034,0.038,0.031,0.031,0.041,0.034,0.038,0.128,0.017,0.015,0.022,0.014,0.044,0.020
0.055,0.259,0.301,0.236,0.287,0.258,0.233,0.240,0.282,0.235,0.275,0.298,0.075,0.369,0.410,0.017,0.268,0.230,0.210
0.016,0.014,0.015,0.015,0.015,0.020,0.010,0.015,0.015,0.010,0.015,0.015,0.039,0.042,0.068,0.080,0.086,0.101,0.048
0.017,0.013,0.015,0.019,0.021,0.014,0.017,0.014,0.019,0.011,0.020,0.021,0.081,0.071,0.109,0.139,0.146,0.155,0.110
0.016,0.047,0.045,0.047,0.045,0.036,0.048,0.046,0.046,0.046,0.028,0.042,0.209,0.225,0.103,0.026,0.074,0.111,0.226
0.013,0.008,0.009,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.011,0.023,0.023,0.031,0.129,0.085,0.016
0.016,0.014,0.019,0.017,0.017,0.017,0.017,0.011,0.011,0.010,0.011,0.012,0.088,0.060,0.036,0.041,0.049,0.040,0.042
0.014,0.010,0.009,0.010,0.009,0.009,0.010,0.009,0.009,0.009,0.009,0.010,0.020,0.011,0.009,0.017,0.028,0.065,0.015
0.013,0.009,0.008,0.008,0.008,0.008,0.008,0.009,0.010,0.012,0.009,0.011,0.061,0.010,0.012,0.010,0.168,0.177,0.041
0.118,0.033,0.010,0.011,0.010,0.010,0.010,0.011,0.027,0.015,0.015,0.014,0.033,0.001,0.000,0.000,0.004,0.003,0.030
0.018,0.018,0.014,0.016,0.018,0.018,0.016,0.019,0.015,0.014,0.014,0.014,0.123,0.042,0.154,0.097,0.189,0.336,0.109
0.022,0.025,0.023,0.022,0.020,0.026,0.024,0.024,0.024,0.022,0.022,0.023,0.045,0.023,0.029,0.035,0.081,0.202,0.027
0.017,0.016,0.015,0.021,0.016,0.016,0.017,0.015,0.018,0.021,0.018,0.017,0.023,0.067,0.052,0.029,0.063,0.076,0.036
0.018,0.018,0.018,0.017,0.017,0.017,0.015,0.017,0.017,0.016,0.017,0.017,0.056,0.032,0.068,0.044,0.310,0.072,0.197
0.016,0.013,0.012,0.012,0.014,0.012,0.012,0.014,0.012,0.014,0.013,0.014,0.040,0.020,0.019,0.017,0.018,0.044,0.019
0.152,0.010,0.010,0.016,0.010,0.015,0.010,0.010,0.010,0.010,0.013,0.010,0.002,0.002,0.003,0.002,0.047,0.020,0.005
0.026,0.026,0.023,0.022,0.022,0.046,0.024,0.022,0.031,0.026,0.024,0.024,0.043,0.026,0.034,0.027,0.039,0.085,0.075
0.016,0.016,0.009,0.009,0.012,0.008,0.009,0.009,0.010,0.008,0.008,0.013,0.102,0.049,0.103,0.043,0.098,0.164,0.062
0.015,0.010,0.010,0.010,0.010,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.026,0.023,0.014,0.019,0.035,0.076,0.023
0.082,0.028,0.026,0.033,0.055,0.030,0.024,0.024,0.024,0.029,0.024,0.027,0.007,0.002,0.004,0.005,0.017,0.006,0.002
0.016,0.009,0.011,0.011,0.009,0.011,0.011,0.011,0.012,0.012,0.010,0.012,0.029,0.022,0.024,0.029,0.102,0.078,0.023
0.060,0.098,0.098,0.104,0.090,0.088,0.086,0.091,0.092,0.097,0.097,0.097,0.011,0.015,0.019,0.022,0.063,0.023,0.019
0.067,0.285,0.279,0.180,0.303,0.280,0.160,0.183,0.286,0.192,0.267,0.189,0.320,0.348,0.238,0.006,0.342,0.268,0.194
0.014,0.010,0.009,0.009,0.009,0.009,0.009,0.010,0.009,0.008,0.010,0.009,0.016,0.015,0.013,0.012,0.033,0.022,0.012
0.018,0.012,0.013,0.016,0.013,0.013,0.015,0.016,0.014,0.014,0.013,0.014,0.027,0.112,0.081,0.088,0.126,0.239,0.075
0.017,0.019,0.016,0.016,0.018,0.017,0.018,0.019,0.017,0.017,0.018,0.018,0.100,0.097,0.143,0.046,0.234,0.127,0.036
0.017,0.017,0.016,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.015,0.057,0.056,0.050,0.045,0.122,0.229,0.030
0.016,0.019,0.018,0.019,0.019,0.014,0.011,0.019,0.019,0.014,0.018,0.015,0.050,0.081,0.064,0.039,0.072,0.046,0.075
