0.021,0.023,0.021,0.020,0.019,0.020,0.020,0.018,0.017,0.025,0.019,0.018,0.010,0.025,0.024,0.019,0.026,0.016,0.000
0.028,0.027,0.029,0.027,0.027,0.026,0.021,0.032,0.025,0.022,0.022,0.044,0.024,0.011,0.009,0.006,0.001,0.011,0.549
0.030,0.034,0.031,0.029,0.033,0.030,0.039,0.041,0.043,0.038,0.040,0.046,0.054,0.033,0.043,0.043,0.036,0.045,0.000
0.035,0.037,0.034,0.036,0.035,0.037,0.038,0.042,0.043,0.040,0.043,0.039,0.044,0.053,0.050,0.055,0.055,0.033,0.853
0.027,0.034,0.032,0.032,0.028,0.031,0.028,0.040,0.042,0.042,0.036,0.027,0.016,0.043,0.051,0.045,0.044,0.038,0.897
0.022,0.025,0.022,0.025,0.025,0.023,0.024,0.015,0.013,0.025,0.020,0.015,0.027,0.016,0.019,0.024,0.027,0.017,0.000
0.030,0.035,0.036,0.036,0.028,0.028,0.028,0.047,0.050,0.048,0.047,0.058,0.030,0.032,0.034,0.044,0.038,0.017,0.000
0.025,0.024,0.025,0.025,0.025,0.025,0.028,0.031,0.033,0.030,0.035,0.018,0.033,0.016,0.024,0.023,0.022,0.031,0.953
0.038,0.034,0.034,0.033,0.036,0.033,0.034,0.056,0.060,0.033,0.037,0.032,0.045,0.031,0.029,0.040,0.037,0.060,0.862
0.035,0.039,0.039,0.039,0.040,0.039,0.039,0.050,0.047,0.033,0.028,0.032,0.049,0.031,0.034,0.029,0.036,0.029,0.000
0.039,0.039,0.040,0.043,0.039,0.046,0.043,0.039,0.036,0.045,0.042,0.051,0.043,0.044,0.057,0.051,0.047,0.030,0.779
0.032,0.035,0.031,0.032,0.031,0.032,0.032,0.040,0.043,0.044,0.036,0.039,0.036,0.037,0.037,0.036,0.036,0.018,0.776
0.035,0.039,0.029,0.039,0.037,0.037,0.037,0.030,0.034,0.056,0.055,0.018,0.050,0.020,0.019,0.022,0.024,0.018,0.000
0.021,0.023,0.026,0.027,0.025,0.025,0.025,0.011,0.010,0.027,0.036,0.034,0.040,0.024,0.035,0.031,0.030,0.005,0.886
0.032,0.030,0.034,0.029,0.033,0.031,0.031,0.015,0.014,0.031,0.027,0.050,0.026,0.022,0.020,0.019,0.019,0.002,0.000
0.020,0.021,0.021,0.018,0.026,0.021,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
